TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,-0.013,-1.006,0.022,-1.2605076000000002,-0.8021411999999999,0.9167328,90.79092468,-0.92246238,18.80448156
0.02,2,-0.014,-1.006,0.016,-1.9480572,0.3437748,0.4583664000000001,90.77373594,-0.92819196,18.81021114
0.03,3,-0.011,-1.005,0.016,-2.0626488000000003,0.572958,0.5156622000000001,90.75081762,-0.93392154,18.81594072
0.04,4,-0.008,-1.007,0.014,-2.0053530000000004,0.8021411999999999,0.572958,90.7278993,-0.93965112,18.8216703
0.05,5,-0.006,-1.007,0.013,-1.8334656000000005,0.4010706,0.8021411999999999,90.6706035,-0.92246238,18.82739988
0.060000000000000005,6,-0.003,-1.009,0.015,-1.8334656000000005,-0.1718874,0.9167328,90.65341476,-0.93392154,18.82739988
0.06999999999999999,7,-0.004,-1.01,0.016,-1.9480572,-0.286479,1.0886202,90.63622602,-0.9453806999999999,18.8216703
0.08,8,-0.006,-1.01,0.013,-2.1199446,-0.3437748,1.2032118,90.6133077,-0.95683986,18.81594072
0.09,9,-0.009000000000000001,-1.01,0.012,-2.291832,-0.11459160000000003,1.2032118,90.59038938,-0.96829902,18.81594072
0.09999999999999999,10,-0.009000000000000001,-1.008,0.014,-2.291832,0.0,1.2032118,90.53882316,-0.96256944,18.81594072
0.11,11,-0.008,-1.008,0.016,-2.1199446,0.057295800000000015,1.0886202,90.52163442,-0.9740286,18.81594072
0.12,12,-0.006,-1.009,0.019,-1.8334656000000005,-0.4583664000000001,0.8594370000000001,90.4987161,-0.98548776,18.81594072
0.13,13,-0.005,-1.01,0.021,-1.8334656000000005,-1.145916,0.6875496,90.48152736,-0.9912173399999998,18.79875198
0.14,14,-0.006,-1.009,0.026,-2.5210152000000003,-1.6042823999999998,0.7448454000000001,90.45860904,-0.9969469199999998,18.78729282
0.15000000000000002,15,-0.006,-1.008,0.023,-3.2658606,-1.3750992,0.8594370000000001,90.41850198,-0.9912173399999998,18.77010408
