TimeStamp(s),FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,EulerX,EulerY,EulerZ
0.01,1,0.009000000000000001,-1.001,0.113,0.0,-0.11459160000000004,-0.11459160000000004,95.11675757999998,1.04278356,-18.14557986
0.02,2,0.006999999999999999,-1.003,0.115,-0.11459160000000004,-0.3437748,-0.2291832000000001,95.11675757999998,1.04278356,-18.14557986
0.03,3,0.009000000000000001,-1.004,0.11599999999999999,-0.1718874,-0.6302538000000001,-0.2291832000000001,95.111028,1.04851314,-18.15703902
0.04,4,0.009000000000000001,-1.003,0.115,0.0,-0.9167328000000001,-0.1718874,95.111028,1.04851314,-18.162768600000003
0.05,5,0.006999999999999999,-1.003,0.11199999999999999,-0.2291832000000001,-0.9167328000000001,-0.057295800000000015,95.111028,1.03705398,-18.16849818
0.060000000000000005,6,0.006999999999999999,-1.002,0.114,-0.1718874,-0.9167328000000001,0.0,95.111028,1.03705398,-18.17995734
0.06999999999999999,7,0.005,-1.001,0.113,-0.057295800000000015,-0.5156622000000001,0.0,95.111028,1.03705398,-18.18568692
0.08,8,0.004,-1.001,0.113,0.057295800000000015,-0.4583664000000001,0.0,95.111028,1.03705398,-18.18568692
0.09,9,0.004,-1.003,0.114,0.1718874,-0.4583664000000001,0.11459160000000004,95.111028,1.03705398,-18.191416500000006
0.09999999999999999,10,0.004,-1.004,0.11599999999999999,0.057295800000000015,-0.5156622000000001,0.11459160000000004,95.12248716,1.00840608,-18.191416500000006
0.11,11,0.003,-1.004,0.115,-0.057295800000000015,-0.572958,0.2291832000000001,95.12248716,1.00840608,-18.197146080000003
0.12,12,0.004,-1.002,0.114,-0.11459160000000004,-0.572958,0.286479,95.12248716,1.0026765,-18.20287566
0.13,13,0.003,-1.002,0.115,-0.11459160000000004,-0.8021411999999999,0.1718874,95.12248716,1.0026765,-18.21433482
0.14,14,0.002,-1.002,0.113,-0.057295800000000015,-0.8021411999999999,0.11459160000000004,95.12248716,1.0026765,-18.2200644
0.15000000000000002,15,0.003,-1.003,0.113,0.0,-0.6875496,0.057295800000000015,95.12821674,0.9740286,-18.2200644
0.16,16,0.003,-1.003,0.115,0.0,-0.572958,0.057295800000000015,95.12821674,0.9740286,-18.22579398
0.17,17,0.003,-1.004,0.11699999999999999,-0.057295800000000015,-0.5156622000000001,0.1718874,95.12821674,0.9740286,-18.23152356
0.18000000000000002,18,0.003,-1.005,0.11599999999999999,-0.286479,-0.6302538000000001,0.2291832000000001,95.12248716,0.96829902,-18.23725314
0.19,19,0.003,-1.006,0.114,-0.4583664000000001,-0.5156622000000001,0.286479,95.11675757999998,0.96829902,-18.24298272
0.2,20,0.002,-1.005,0.113,-0.40107059999999994,-0.286479,0.286479,95.11675757999998,0.93965112,-18.24298272
0.21000000000000002,21,0.001,-1.002,0.111,-0.40107059999999994,0.0,0.286479,95.111028,0.93392154,-18.24298272
0.22,22,0.001,-0.9990000000000001,0.11,-0.40107059999999994,0.0,0.2291832000000001,95.10529842,0.93392154,-18.24298272
0.23,23,0.0,-1.0,0.10800000000000001,-0.2291832000000001,0.5156622000000001,0.2291832000000001,95.10529842,0.92819196,-18.23725314
0.24000000000000002,24,0.0,-1.001,0.10800000000000001,-0.11459160000000004,0.6875496,0.2291832000000001,95.10529842,0.92819196,-18.23152356
0.25,25,0.0,-1.001,0.107,0.0,0.8594370000000001,0.1718874,95.09383926,0.89954406,-18.21433482
0.26,26,-0.001,-1.001,0.10800000000000001,0.0,0.7448454000000001,0.3437748,95.09383926,0.89381448,-18.20860524
0.27,27,0.0,-0.997,0.10800000000000001,-0.057295800000000015,0.5156622000000001,0.5156622000000001,95.09383926,0.8880849000000001,-18.20287566
0.28,28,0.002,-1.0,0.113,-0.057295800000000015,0.6302538000000001,0.286479,95.09383926,0.8880849000000001,-18.197146080000003
0.29000000000000004,29,0.0,-1.006,0.115,-0.4583664000000001,0.9167328000000001,0.11459160000000004,95.08810968,0.8823553199999999,-18.18568692
0.3,30,0.002,-1.01,0.107,-0.5156622000000001,1.3178034,0.2291832000000001,95.07665052000002,0.87089616,-18.17422776
0.31,31,0.0,-1.014,0.107,-0.286479,0.9740286,0.2291832000000001,95.07665052000002,0.86516658,-18.162768600000003
0.32,32,0.001,-1.011,0.111,-0.40107059999999994,0.286479,0.286479,95.07092094,0.86516658,-18.162768600000003
0.33,33,0.003,-1.0070000000000001,0.115,-0.40107059999999994,0.11459160000000004,0.40107059999999994,95.06519136,0.8594370000000001,-18.162768600000003
0.34,34,0.002,-1.006,0.115,-0.6302538000000001,0.3437748,0.3437748,95.05946178,0.8537074199999999,-18.15703902
0.35000000000000003,35,0.003,-1.0070000000000001,0.11199999999999999,-0.8594370000000001,0.5156622000000001,0.2291832000000001,95.0537322,0.8422482600000001,-18.15130944
0.36000000000000004,36,0.004,-1.002,0.111,-0.8594370000000001,0.8021411999999999,0.2291832000000001,95.04227304,0.8422482600000001,-18.14557986
0.37,37,0.003,-0.997,0.11,-0.6875496,1.0313244000000001,0.286479,95.03654346,0.83651868,-18.1341207
0.38,38,0.001,-0.993,0.111,-0.6875496,0.9740286,0.286479,95.03081388,0.8307891,-18.12266154
0.39,39,0.001,-0.9940000000000001,0.111,-0.572958,0.9167328000000001,0.11459160000000004,95.0250843,0.8307891,-18.11693196
0.4,40,0.0,-0.996,0.111,-0.572958,0.9740286,0.057295800000000015,95.01935472,0.8078707799999998,-18.09974322
0.41000000000000003,41,0.001,-0.9940000000000001,0.109,-0.6302538000000001,0.7448454000000001,0.0,95.01362514,0.8078707799999998,-18.09401364
0.42000000000000004,42,-0.001,-0.993,0.106,-0.40107059999999994,0.7448454000000001,0.0,95.00789556,0.8078707799999998,-18.08828406
0.43,43,-0.003,-0.993,0.106,-0.1718874,0.8021411999999999,0.0,95.00789556,0.8078707799999998,-18.0768249
0.44,44,-0.002,-0.992,0.10800000000000001,0.057295800000000015,0.6875496,-0.057295800000000015,95.00789556,0.8078707799999998,-18.07109532
0.45,45,0.001,-0.995,0.11,0.1718874,0.9167328000000001,-0.11459160000000004,95.01362514,0.7906820400000001,-18.05963616
0.46,46,0.002,-0.998,0.109,0.286479,0.9167328000000001,0.0,95.01935472,0.7906820400000001,-18.048177
0.47000000000000003,47,0.001,-1.0,0.111,0.1718874,0.7448454000000001,0.0,95.01935472,0.7906820400000001,-18.04244742
0.48000000000000004,48,0.0,-1.003,0.109,0.057295800000000015,0.7448454000000001,-0.057295800000000015,95.01935472,0.7906820400000001,-18.03098826
0.49,49,0.001,-1.005,0.10800000000000001,0.1718874,0.8594370000000001,-0.1718874,95.01935472,0.7906820400000001,-18.02525868
